timestamp,service,host,cpu_percent,memory_percent,disk_io_mb_s,nfs_latency_ms,error_rate_percent
2026-03-01 00:00:00,eda-simulation-engine,compute-node-01,57.48,64.45,129.72,11.05,0.45
2026-03-01 00:00:00,eda-simulation-engine,compute-node-02,53.83,71.32,131.51,7.06,0.61
2026-03-01 00:10:00,eda-simulation-engine,compute-node-01,52.68,63.14,123.63,4.17,0.16
2026-03-01 00:10:00,eda-simulation-engine,compute-node-02,52.19,60.95,124.71,6.18,0.22
2026-03-01 00:20:00,eda-simulation-engine,compute-node-01,62.33,64.1,121.01,5.15,0.39
2026-03-01 00:20:00,eda-simulation-engine,compute-node-02,55.55,60.4,125.64,6.8,0.44
2026-03-01 00:30:00,eda-simulation-engine,compute-node-01,51.99,72.41,119.8,5.88,0.66
2026-03-01 00:30:00,eda-simulation-engine,compute-node-02,48.9,65.84,90.6,5.34,0.54
2026-03-01 00:40:00,eda-simulation-engine,compute-node-01,58.69,65.69,118.27,7.4,0.2
2026-03-01 00:40:00,eda-simulation-engine,compute-node-02,51.4,63.16,135.86,8.69,0.15
2026-03-01 00:50:00,eda-simulation-engine,compute-node-01,56.62,63.46,109.85,9.22,0.71
2026-03-01 00:50:00,eda-simulation-engine,compute-node-02,59.66,61.64,115.36,8.66,0.7
2026-03-01 01:00:00,eda-simulation-engine,compute-node-01,52.6,64.26,103.4,5.61,0.66
2026-03-01 01:00:00,eda-simulation-engine,compute-node-02,61.78,64.71,135.05,8.72,0.37
2026-03-01 01:10:00,eda-simulation-engine,compute-node-01,56.81,71.15,119.46,11.13,-0.02
2026-03-01 01:10:00,eda-simulation-engine,compute-node-02,59.11,65.35,115.51,8.18,0.1
2026-03-01 01:20:00,eda-simulation-engine,compute-node-01,53.9,66.43,142.17,6.96,0.34
2026-03-01 01:20:00,eda-simulation-engine,compute-node-02,52.49,68.66,124.93,6.94,0.6
2026-03-01 01:30:00,eda-simulation-engine,compute-node-01,55.49,68.87,109.47,7.34,0.42
2026-03-01 01:30:00,eda-simulation-engine,compute-node-02,47.68,66.18,123.92,8.01,0.45
2026-03-01 01:40:00,eda-simulation-engine,compute-node-01,47.92,63.32,114.86,6.4,0.47
2026-03-01 01:40:00,eda-simulation-engine,compute-node-02,57.02,72.54,122.62,8.52,0.49
2026-03-01 01:50:00,eda-simulation-engine,compute-node-01,45.41,64.89,120.9,12.93,0.46
2026-03-01 01:50:00,eda-simulation-engine,compute-node-02,56.51,64.86,102.47,10.29,0.65
2026-03-01 02:00:00,eda-simulation-engine,compute-node-01,99.38,82.03,288.67,151.99,10.99
2026-03-01 02:00:00,eda-simulation-engine,compute-node-02,98.1,82.65,293.56,166.27,9.54
2026-03-01 02:10:00,eda-simulation-engine,compute-node-01,96.56,81.29,273.59,160.44,12.59
2026-03-01 02:10:00,eda-simulation-engine,compute-node-02,93.57,90.6,309.48,126.17,13.31
2026-03-01 02:20:00,eda-simulation-engine,compute-node-01,95.83,87.47,337.94,145.09,10.49
2026-03-01 02:20:00,eda-simulation-engine,compute-node-02,96.65,85.04,329.07,144.71,17.44
2026-03-01 02:30:00,eda-simulation-engine,compute-node-01,96.43,86.42,298.54,133.06,8.97
2026-03-01 02:30:00,eda-simulation-engine,compute-node-02,95.77,82.35,303.07,151.16,9.71
2026-03-01 02:40:00,eda-simulation-engine,compute-node-01,93.12,86.55,310.28,160.3,19.71
2026-03-01 02:40:00,eda-simulation-engine,compute-node-02,96.52,82.68,295.26,140.29,12.16
2026-03-01 02:50:00,eda-simulation-engine,compute-node-01,97.18,85.19,278.45,135.69,13.36
2026-03-01 02:50:00,eda-simulation-engine,compute-node-02,96.27,78.92,303.73,136.76,13.7
2026-03-01 03:00:00,eda-simulation-engine,compute-node-01,94.33,83.58,286.93,185.31,12.81
2026-03-01 03:00:00,eda-simulation-engine,compute-node-02,94.03,88.8,285.85,158.88,13.55
2026-03-01 03:10:00,eda-simulation-engine,compute-node-01,50.37,64.76,71.38,5.95,0.45
2026-03-01 03:10:00,eda-simulation-engine,compute-node-02,48.76,71.53,98.55,7.12,0.53
2026-03-01 03:20:00,eda-simulation-engine,compute-node-01,62.21,59.26,137.45,8.02,0.3
2026-03-01 03:20:00,eda-simulation-engine,compute-node-02,57.31,65.8,111.0,8.14,0.42
2026-03-01 03:30:00,eda-simulation-engine,compute-node-01,55.57,67.65,143.79,5.52,0.93
2026-03-01 03:30:00,eda-simulation-engine,compute-node-02,45.24,64.39,128.82,8.56,0.38
2026-03-01 03:40:00,eda-simulation-engine,compute-node-01,53.96,63.03,111.16,9.7,0.57
2026-03-01 03:40:00,eda-simulation-engine,compute-node-02,51.54,68.6,124.61,9.63,0.63
2026-03-01 03:50:00,eda-simulation-engine,compute-node-01,50.86,62.76,131.21,9.22,0.5
2026-03-01 03:50:00,eda-simulation-engine,compute-node-02,55.59,70.11,111.13,9.09,0.46
2026-03-01 04:00:00,eda-simulation-engine,compute-node-01,53.91,69.4,132.38,9.63,0.76
2026-03-01 04:00:00,eda-simulation-engine,compute-node-02,55.11,67.73,115.35,8.65,0.47
2026-03-01 04:10:00,eda-simulation-engine,compute-node-01,55.48,67.38,107.73,12.18,0.3
